Id,Year,Month,Day,Expected Output,Actual Output,Result
0,-1,7,15,Year Exceed,
1,0,7,15,Year Exceed,
2,1999,7,15,Year Exceed,
3,2000,7,15,2000/7/16,
4,2001,7,15,2001/7/16,
5,2044,2,28,2044/2/29,
6,2044,2,29,2044/3/1,
7,2050,-2,15,Month Exceed,
8,2050,0,15,Month Exceed,
9,2050,1,15,2050/1/16,
10,2050,2,15,2050/2/16,
11,2050,2,28,2050/3/1,
12,2050,2,29,day is out of range for month,
13,2050,6,30,2050/7/1,
14,2050,6,31,day is out of range for month,
15,2050,7,-5,Day Exceed,
16,2050,7,0,Day Exceed,
17,2050,7,1,2050/7/2,
18,2050,7,2,2050/7/3,
19,2050,7,15,2050/7/16,
20,2050,7,30,2050/7/31,
21,2050,7,31,2050/8/1,
22,2050,7,32,Day Exceed,
23,2050,11,15,2050/11/16,
24,2050,12,15,2050/12/16,
25,2050,15,15,Month Exceed,
26,2099,7,15,2099/7/16,
27,2100,7,15,2100/7/16,
28,2101,7,15,Year Exceed,
29,2000,12,31,2001/1/1,
30,2050,12,31,2051/1/1,
31,2100,12,31,2101/1/1,
