,Id,Host,Monitor,Peripheral,Expected Output,Actual Output,Result
0,1,-3,30,30,Sales volume cannot be negative,host can't be negative,未通过测试
1,2,2,30,30,460.0,460.0,通过测试
2,3,68,30,30,790.0,790.0,通过测试
3,4,72,30,30,The number of hosts sold exceeds the limit,host exceeded,未通过测试
4,5,30,-3,30,Sales volume cannot be negative,monitor can't be negative,未通过测试
5,6,30,2,30,432.0,432.0,通过测试
6,7,30,78,30,888.0,888.0,通过测试
7,8,30,82,30,The number of monitors sold exceeds the limit,monitor exceeded,未通过测试
8,9,30,30,-3,Sales volume cannot be negative,peripheral can't be negative,未通过测试
9,10,30,30,2,261.0,261.0,通过测试
10,11,30,30,88,1122.0,1122.0,通过测试
11,12,30,30,92,The number of peripherals sold exceeds the limit,peripheral exceeded,未通过测试
12,13,9,10,10,97.5,97.5,通过测试
13,14,11,10,10,153.75,153.75,通过测试
14,15,40,10,10,262.5,262.5,通过测试
15,16,47,10,10,385.0,385.0,通过测试
